,pays,cluster
2,Algérie,1
0,Arménie,1
18,Azerbaïdjan,1
27,Bosnie-Herzégovine,1
9,Brésil,1
14,"Chine, continentale",1
15,Colombie,1
31,Guyana,1
42,Kirghizistan,1
56,Macédoine du Nord,1
54,Maroc,1
11,Myanmar,1
85,Ouzbékistan,1
78,Tunisie,1
75,Turkménistan,1
79,Turquie,1
82,Ukraine,1
23,Égypte,1
3,Antigua-et-Barbuda,2
7,Bahamas,2
8,Barbade,2
10,Bulgarie,2
22,Bélarus,2
13,Chili,2
17,Chypre,2
16,Costa Rica,2
34,Croatie,2
20,Dominique,2
64,Fédération de Russie,2
30,Grenade,2
33,Hongrie,2
40,Jamaïque,2
39,Kazakhstan,2
28,Kiribati,2
45,Lettonie,2
48,Malaisie,2
51,Maurice,2
53,Mongolie,2
57,Nouvelle-Zélande,2
59,Panama,2
43,République de Corée,2
21,République dominicaine,2
65,Saint-Kitts-et-Nevis,2
67,Saint-Vincent-et-les Grenadines,2
66,Sainte-Lucie,2
87,Samoa,2
90,Serbie,2
70,Slovaquie,2
69,Slovénie,2
74,Suisse,2
60,Tchéquie,2
76,Trinité-et-Tobago,2
84,Uruguay,2
44,Koweït,3
49,Maldives,3
77,Oman,3
71,Afrique du Sud,4
26,Allemagne,4
68,Arabie saoudite,4
32,Chine - RAS de Hong-Kong,4
41,Japon,4
52,Mexique,4
55,Pays-Bas,4
81,Royaume-Uni de Grande-Bretagne et d'Irlande du Nord,4
86,Viet Nam,4
80,Émirats arabes unis,4
1,Albanie,5
4,Argentine,5
5,Australie,5
6,Autriche,5
88,Belgique,5
12,Canada,5
47,Chine - RAS de Macao,5
19,Danemark,5
72,Espagne,5
24,Estonie,5
25,Finlande,5
29,Grèce,5
36,Irlande,5
35,Islande,5
37,Israël,5
38,Italie,5
46,Lituanie,5
89,Luxembourg,5
50,Malte,5
91,Monténégro,5
58,Norvège,5
61,Pologne,5
62,Portugal,5
63,Roumanie,5
73,Suède,5
83,États-Unis d'Amérique,5
